/*Name startKM endKM stationEntrySpeed(kmph)*/

NDLS 0.0 0.75 15.0
CSB 1.25 2.0 15.0
TKJ 2.619999999999891 3.37 15.0
PGMD 4.229999999999791 4.98 15.0
NZM 7.249999999999773 8.0 15.0
OKA 10.909999999999854 11.66 15.0
TKD 17.759999999999764 18.51 15.0
TKDC 23.509999999999764 24.26 15.0
FDB 28.049999999999727 28.8 15.0
FDN 32.05999999999972 32.81 15.0
BVH 36.05999999999972 36.81 15.0
AST 45.9699999999998 46.72 15.0
PWL 57.19999999999982 57.95 15.0
RDE 66.50999999999976 67.26 15.0
SHLK 76.93999999999983 77.69 15.0
BNCR 80.41999999999985 81.17 15.0
HDL 87.27999999999975 88.03 15.0
KSV 99.5799999999997 100.33 15.0
CHJ 109.77999999999975 110.53 15.0
AJH 119.78999999999974 120.54 15.0
VRBD 130.8299999999997 131.58 15.0
BTSR 138.1899999999996 138.94 15.0
MTJ 140.59999999999968 141.35 15.0
BAD 150.8199999999997 151.57 15.0
FAR 159.50999999999976 160.26 15.0
DDDM 161.99999999999977 162.75 15.0
KXM 171.00999999999976 171.76 15.0
RNKA 179.98999999999978 180.74 15.0
BFP 189.05999999999972 189.81 15.0
RKM 190.50999999999976 191.26 15.0
AGC 194.38999999999965 195.14 15.0
BHA 204.66999999999962 205.42 15.0
JJ 220.00999999999954 220.76 15.0
MIA 234.39999999999964 235.15 15.0
DHO 246.84999999999968 247.6 15.0
HET 260.4099999999996 261.16 15.0
SIKD 266.3599999999997 267.11 15.0
MRA 274.3399999999997 275.09 15.0
SANK 284.00999999999976 284.76 15.0
NUB 288.00999999999976 288.76 15.0
BAO 293.5699999999997 294.32 15.0
RRU 299.76999999999975 300.52 15.0
BLNR 309.9899999999998 310.74 15.0
GWL 312.8299999999997 313.58 15.0
STLI 321.38999999999965 322.14 15.0
SLV 328.8599999999997 329.61 15.0
ARI 336.27999999999975 337.03 15.0
AEH 346.53999999999974 347.29 15.0
SMTL 349.41499999999974 350.165 15.0
DBA 356.27999999999975 357.03 15.0
KTRA 365.8499999999997 366.6 15.0
SOR 375.4099999999996 376.16 15.0
DAA 385.2099999999996 385.96 15.0
CIRL 392.09999999999945 392.85 15.0
KRQ 398.50999999999954 399.26 15.0
JHS 409.8799999999994 410.63 15.0
JHSA 413.3999999999994 414.15 15.0
BJI 418.35999999999945 419.11 15.0
KHJ 427.0499999999995 427.8 15.0
BAB 435.22999999999956 435.98 15.0
BPW 439.61999999999944 440.37 15.0
BZY 447.22999999999956 447.98 15.0
MZX 455.1099999999997 455.86 15.0
TBT 460.1899999999996 460.94 15.0
DLA 465.7699999999995 466.52 15.0
BJA 470.8099999999995 471.56 15.0
JHA 479.5499999999995 480.3 15.0
DWA 489.4599999999996 490.21 15.0
LAR 499.7899999999995 500.54 15.0
JRO 509.34999999999945 510.1 15.0
JLN 516.3699999999995 517.12 15.0
DUA 527.9299999999995 528.68 15.0
MXS 536.4799999999996 537.23 15.0
KOA 542.7599999999995 543.51 15.0
AGD 554.4299999999995 555.18 15.0
BINA 562.4499999999995 563.2 15.0
KIKA 571.8799999999995 572.63 15.0
MABA 579.7799999999995 580.53 15.0
KAH 588.5799999999995 589.33 15.0
CLHT 593.5999999999995 594.35 15.0
BET 598.1899999999995 598.94 15.0
BAQ 608.0799999999995 608.83 15.0
PAI 616.7799999999995 617.53 15.0
GLG 626.3199999999995 627.07 15.0
SUMR 633.6999999999995 634.45 15.0
SORI 642.0299999999995 642.78 15.0
BHS 647.5499999999995 648.3 15.0
SCI 656.7099999999995 657.46 15.0
SMT 663.9399999999995 664.69 15.0
DWG 673.3799999999995 674.13 15.0
BVB 682.1699999999995 682.92 15.0
SUW 689.6999999999995 690.45 15.0
NSZ 699.2999999999995 700.05 15.0
BPL 700.8199999999995 701.57 15.0
HBJ 706.8499999999995 707.6 15.0
MSO 712.8599999999996 713.61 15.0
MDDP 723.1599999999995 723.91 15.0
ITKL 728.5799999999995 729.33 15.0
ODG 736.6399999999995 737.39 15.0
BKA 748.1699999999995 748.92 15.0
CHQ 754.5999999999995 755.35 15.0
MIG 760.7799999999995 761.53 15.0
BNI 767.5599999999995 768.31 15.0
